verse_key,position,arabic,transliteration,malay_base,english,old_thai,new_thai,category,correction_reason
2:7,1,خَتَمَ,khatama,menutup/mengunci,Has set a seal,อัลลอฮฺได้ทรงประทับตรา,ได้ทรงประทับตรา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:10,4,فَزَادَهُمُ,fazādahumu,maka menambah,so has increased them,ดังนั้นอัลลอฮฺจึงทรงเพิ่ม,ดังนั้นจึงทรงเพิ่ม,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:17,10,ذَهَبَ,dhahaba,menghilangkan,took away,อัลลอฮฺก็ทรงเอา,ก็ทรงเอา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:23,5,مِّمَّا,mimmā,dari apa yang,about what,จากสิ่งที่เราได้ประทานลงมา,จากสิ่งที่,PHRASE_PACKING_UNPACKED,Unpacked following noun 'เราได้ประทานลงมา' from verb/phrase to establish strict 1-to-1 match
2:26,12,فَأَمَّا,fa-ammā,maka adapun,Then as for,ส่วนบรรดาผู้ที่,ส่วนว่า,PHRASE_PACKING_UNPACKED,Unpacked following noun 'บรรดาผู้ที่' from verb/phrase to establish strict 1-to-1 match
2:26,20,وَأَمَّا,wa-ammā,dan adapun,And as for,และส่วนบรรดาผู้ที่,และส่วนว่า,PHRASE_PACKING_UNPACKED,Unpacked following noun 'บรรดาผู้ที่' from verb/phrase to establish strict 1-to-1 match
2:28,6,فَأَحْيَٰكُمْ ۖ,fa-aḥyākum,maka Dia menghidupkan kalian,then He gave you life,แล้วพระองค์ทรงให้พวกเจ้ามีชีวิต,พระองค์ทรงให้พวกเจ้ามีชีวิต,PHRASE_PACKING_UNPACKED,Unpacked following noun 'แล้ว' from verb/phrase to establish strict 1-to-1 match
2:36,1,فَأَزَلَّهُمَا,fa-azallahumā,maka menggelincirkan keduanya,Then made [both of] them slip,แล้วชัยฏอนได้ทำให้ทั้งสองลื่นไถล,แล้วได้ทำให้ทั้งสองลื่นไถล,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ชัยฏอน' from verb/phrase to establish strict 1-to-1 match
2:37,1,فَتَلَقَّىٰٓ,fatalaqqā,maka menerima,Then received,แล้วอาดัมได้รับ,แล้วได้รับ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'อาดัม' from verb/phrase to establish strict 1-to-1 match
2:70,15,شَآءَ,shāa,menghendaki,wills,อัลลอฮฺทรง,ทรงประสงค์,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:80,3,تَمَسَّنَا,tamassanā,menyentuh kami,will touch us,ไฟนรกจะมาสัมผัสพวกเรา,จะมาสัมผัสพวกเรา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ไฟนรก' from verb/phrase to establish strict 1-to-1 match
2:86,9,عَنْهُمُ,ʿanhumu,dari mereka,for them,การลงโทษแก่พวกเขา,แก่พวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'การลงโทษ' from verb/phrase to establish strict 1-to-1 match
2:100,4,نَّبَذَهُۥ,nabadhahu,melemparkannya,threw it away,กลุ่มหนึ่งจากพวกเขาได้โยนมันทิ้ง,จากพวกเขาได้โยนมันทิ้ง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลุ่มหนึ่ง' from verb/phrase to establish strict 1-to-1 match
2:118,6,يُكَلِّمُنَا,yukallimunā,berbicara pada kami,speaks to us,อัลลอฮฺไม่ทรงตรัสกับพวกเรา,ไม่ทรงตรัสกับพวกเรา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:121,2,ءَاتَيْنَٰهُمُ,ātaynāhumu,Kami telah berikan kepada mereka,We have given them,เราได้ประทานคัมภีร์แก่พวกเขา,เราได้ประทานแก่พวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'คัมภีร์' from verb/phrase to establish strict 1-to-1 match
2:137,15,فَسَيَكْفِيكَهُمُ,fasayakfīkahumu,maka memelihara kamu terhadap mereka,So will suffice you against them,ดังนั้นอัลลอฮฺจะทรงคุ้มครองเจ้าให้พ้นจากพวกเขา,ดังนั้นจะทรงคุ้มครองเจ้าให้พ้นจากพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:140,26,وَمَا,wamā,dan tidaklah,And not,และมิใช่อัลลอฮฺ,และหาใช่ไม่,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:144,30,وَمَا,wamā,dan tidak,And not,และมิใช่อัลลอฮฺ,และหาใช่ไม่,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
